# Code Track by Principle — Feature vs. Design Principle Log
# Per CLAUDE.md Section 22/23: after implementing any feature, log it here with
# the principle(s) applied and the specific mechanism. Newest entries at the bottom.

| Feature | Pattern applied | How |
|---|---|---|
| Master Data Import — Instruments/Storage Locations (2026-07-07) | DRY + Adapter Pattern | `core/excel_import.py`'s `read_excel_rows()` and `core/senaite_service.py`'s `import_instrument_row`/`import_storage_location_row`/`delete_object` are shared verbatim between the Django management commands and the API views — one place owns "how to parse an import sheet" and "how to talk to SENAITE for this operation", not duplicated per entry point. |
| Duplicate-detection on re-import (2026-07-07) | Single Source of Truth | `_find_active_by_title()` + per-field exact-match comparison (`_instrument_matches()`) is the one place that decides "is this a duplicate" — used identically by both Instrument and Storage Location import paths, and correctly excludes soft-deleted (inactive) records without a separate code path. |
| SENAITE error sanitization (2026-07-07) | Adapter Pattern (isolate SENAITE-specific detail from the UI boundary) | `_sanitize_error()` in `core/senaite_service.py` strips SENAITE hostnames/product name from any exception string before it can reach an API response — one chokepoint enforcing the Section 17b white-label rule, rather than sanitizing at every call site. |
| Staff user management + sample-receive role gate (2026-07-07) | DRY + SOLID (SRP) | Replaced two duplicated inline `allowed_roles` set-checks in `inventory/views.py` with one shared `CanReceiveOrStoreSamples` permission class in `core/permissions.py`, reused by both storage assign/unassign and `lims.SampleViewSet.receive` — one place owns the "who can touch a sample in custody" rule instead of three. |
| Storage-to-SENAITE sync tenant-schema fix (2026-07-07) | Consistency / DRY (mirrored an existing correct pattern instead of inventing a new one) | `core/signals.py`'s AR-sync signal already captured `connection.schema_name` and passed it to its Celery task. Applied the identical shape to `inventory/signals.py` + `inventory/tasks.py` rather than solving the same tenant-schema problem a second, different way — one recognizable pattern for "signal → schema-aware Celery task" across the codebase. |
| Box/slot SENAITE tier-field inheritance (2026-07-07) | DRY + Single Source of Truth | Instead of duplicating the ancestor-walk logic for `box_location` slots, `StorageLocation.slot_inherited_fields(parent)` copies directly from the parent box's *already-resolved* fields (populated by `save()` before the slot-generation signal fires) — one owner of "how a tier value gets resolved" (`inherit_senaite_fields_from_ancestors`), one owner of "how a slot copies from its box" (`slot_inherited_fields`), reused identically by both `inventory/signals.py`'s auto-generation and the `regenerate-slots` API action rather than writing the ancestor walk a third time. |
| Storage List page hang at 864 rows (2026-07-07) | Correct algorithmic complexity per data size (right tool for the data structure) | `fetchSenaiteStorageLocations()` in `app/lib/senaite.ts` requested `complete=true`, forcing Plone/SENAITE to resolve (wake up) all 864 full objects — O(n) expensive object loads — when every field rendered (`title`, `description`, `review_state`, `id`, `uid`) is already cheap catalog-brain metadata. Dropped `complete=true` so the request stays a catalog-only query. Client-side selection already used a `Set<string>` (O(1) membership check) rather than array `.includes()`, and pagination already slices the array instead of rendering all rows — those were already correct; the bottleneck was purely the upstream query shape, not a client data-structure choice. Added `app/dashboard/storage-list/loading.tsx` (Next.js App Router auto-Suspense) so the route shows a skeleton instantly instead of blocking blank while the list resolves. |
| QR storage-label assignment in New Sample + Sample Receipt (2026-07-08) | DRY + SOLID (SRP) + KISS/YAGNI + Single Source of Truth | One hidden system-generated `label_code` (box `BX-<pk>`, slot `BX-<pk>-A1`) is the sole scannable identifier — never the user-editable, duplicable name; generation owned by one signal (`_register_label_code_signal`) registered before slot autogeneration so `bulk_create` slots copy the box code. Extracted `_assign_sample_to_slot()` in `inventory/views.py` as the single owner of "sample enters a slot" (race-guarded occupy + AuditEvent), reused by the existing `assign` action AND the new `assign-by-label` (box code → first free slot with retry-over-next; "Box is full" when none). One shared `StorageLocationInput.tsx` (debounced server-filtered box search — never loads the full tree — + jsQR device-camera scan) reused identically by New Sample and Sample Receipt; readable path built from already-denormalized tier titles, zero extra queries. No new endpoint for search (existing ViewSet filters = KISS); camera lib is the only new dependency. |
| Tenant/Client separation (2026-07-08) | SOLID (SRP) + Separation of Concerns + DRY | Split the merged "create client = create tenant + schema + domains" flow. `ClientViewSet.perform_create` now only creates the Client record (`tenant = request.user.tenant`) with no login account — credentials are exclusively a tenant-admin concept; tenant lifecycle moved to a superadmin-only `TenantManagementViewSet` (`/api/tenant-management/`, no DELETE — deactivate only, since dropping a schema is irreversible) guarded by one shared `IsSuperAdmin` class in `core/permissions.py` applied to all tenant views. Tenant creation provisions schema + domains via the existing `Tenant.save()` and generates the tenant-admin account using the exact existing one-time-credential-reveal pattern (`request._created_*` → surfaced once in the `create()` response) instead of a second mechanism. Frontend: `session.isSuperuser` from `/api/auth/me/`, `superuserOnly` sidebar flag, new `/dashboard/tenant-management` page (Administration group); client pages no longer create tenants or manage tenant logos. Existing client↔tenant mappings left untouched. |
